Boost,Seed,At Slot,Blocks,Slots,From Weight,To Weight
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,198,1,2,40.39,41.455
0.005,2145,198,1,2,40.39,41.455
0.005,2145,232,1,1,45.54,46.54
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,198,1,2,40.39,41.455
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
