Boost,Seed,At Slot,Blocks,Slots,From Weight,To Weight
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,232,1,1,45.54,46.54
0.005,2145,236,1,5,47.574999999999996,47.585
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,169,1,4,32.33,33.33
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.005,2145,39,1,5,10.079999999999998,11.079999999999998
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,209,1,1,46.83,47.83
0.010,20952,20,1,2,6.1,7.1
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,141,1,5,35.559999999999995,36.559999999999995
0.010,20952,62,1,4,20.24,21.24
0.010,20952,299,1,4,64.14000000000001,65.14000000000001
0.010,20952,141,1,5,35.559999999999995,36.559999999999995
0.010,20952,20,1,2,6.1,7.1
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,54,1,1,15.16,16.16
0.010,20952,209,1,1,46.83,47.83
0.010,20952,54,1,1,15.16,16.16
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,209,1,1,46.83,47.83
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,209,1,1,46.83,47.83
0.010,20952,54,1,1,15.16,16.16
0.010,20952,54,1,1,15.16,16.16
0.010,20952,288,1,2,60.02,61.02
0.010,20952,20,1,2,6.1,7.1
0.010,20952,20,1,2,6.1,7.1
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,20,1,2,6.1,7.1
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,54,1,1,15.16,16.16
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,209,1,1,46.83,47.83
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,20,1,2,6.1,7.1
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,20,1,2,6.1,7.1
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,20,1,2,6.1,7.1
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,20,1,2,6.1,7.1
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,0,1,6,1,2
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,20,1,2,6.1,7.1
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,54,1,1,15.16,16.16
0.010,20952,209,1,1,46.83,47.83
0.010,20952,209,1,1,46.83,47.83
0.010,20952,20,1,2,6.1,7.1
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,20,1,2,6.1,7.1
0.010,20952,54,1,1,15.16,16.16
0.010,20952,54,1,1,15.16,16.16
0.010,20952,20,1,2,6.1,7.1
0.010,20952,20,1,2,6.1,7.1
0.010,20952,20,1,2,6.1,7.1
0.010,20952,209,1,1,46.83,47.83
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,209,1,1,46.83,47.83
0.010,20952,13,1,7,5,6.1
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,20,1,2,6.1,7.1
0.010,20952,54,1,1,15.16,16.16
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,13,1,7,5,6.1
0.010,20952,122,1,2,30.509999999999998,31.509999999999998
0.010,20952,20,1,2,6.1,7.1
0.010,20952,54,1,1,15.16,16.16
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,288,1,2,60.02,61.02
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,54,1,1,15.16,16.16
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.010,20952,100,1,7,26.419999999999998,27.419999999999998
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,1,1,8,2,3
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,179,1,4,33.87,34.87
0.015,2124,1,1,8,2,3
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,179,1,4,33.87,34.87
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,179,1,4,33.87,34.87
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,1,1,8,2,3
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,179,1,4,33.87,34.87
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,179,1,4,33.87,34.87
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,179,1,4,33.87,34.87
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,106,1,4,20.585000000000004,21.585000000000004
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,179,1,4,33.87,34.87
0.015,2124,140,1,7,25.675000000000004,26.675000000000004
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.015,2124,46,1,20,11.270000000000001,12.270000000000001
0.020,10563,32,1,4,6.24,7.26
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,60,1,9,15.48,16.48
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,98,1,1,27.580000000000002,28.700000000000003
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,223,1,6,47.24,48.24
0.020,10563,32,1,4,6.24,7.26
0.020,10563,223,1,6,47.24,48.24
0.020,10563,32,1,4,6.24,7.26
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,32,1,4,6.24,7.26
0.020,10563,60,1,9,15.48,16.48
0.020,10563,32,1,4,6.24,7.26
0.020,10563,60,1,9,15.48,16.48
0.020,10563,32,1,4,6.24,7.26
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,223,1,6,47.24,48.24
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,60,1,9,15.48,16.48
0.020,10563,60,1,9,15.48,16.48
0.020,10563,60,1,9,15.48,16.48
0.020,10563,32,1,4,6.24,7.26
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,32,1,4,6.24,7.26
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,98,1,1,27.580000000000002,28.700000000000003
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,60,1,9,15.48,16.48
0.020,10563,32,1,4,6.24,7.26
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,32,1,4,6.24,7.26
0.020,10563,60,1,9,15.48,16.48
0.020,10563,98,1,1,27.580000000000002,28.700000000000003
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,300,1,6,58.480000000000004,59.480000000000004
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,60,1,9,15.48,16.48
0.020,10563,32,1,4,6.24,7.26
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,32,1,4,6.24,7.26
0.020,10563,223,1,6,47.24,48.24
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,60,1,9,15.48,16.48
0.020,10563,32,1,4,6.24,7.26
0.020,10563,60,1,9,15.48,16.48
0.020,10563,129,1,9,31.700000000000003,32.7
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,60,1,9,15.48,16.48
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,98,1,1,27.580000000000002,28.700000000000003
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.020,10563,32,1,4,6.24,7.26
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,73,1,2,20.574999999999996,21.574999999999996
0.025,29235,304,1,12,72.975,73.975
0.025,29235,15,1,7,5.225,6.225
0.025,29235,0,1,2,1,2
0.025,29235,15,1,7,5.225,6.225
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,73,1,2,20.574999999999996,21.574999999999996
0.025,29235,304,2,13,73.975,74.975
0.025,29235,0,1,2,1,2
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,73,1,2,20.574999999999996,21.574999999999996
0.025,29235,73,1,2,20.574999999999996,21.574999999999996
0.025,29235,228,1,2,54.15,55.15
0.025,29235,228,1,2,54.15,55.15
0.025,29235,15,1,7,5.225,6.225
0.025,29235,73,1,2,20.574999999999996,21.574999999999996
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,228,1,2,54.15,55.15
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,15,1,7,5.225,6.225
0.025,29235,73,1,2,20.574999999999996,21.574999999999996
0.025,29235,228,1,2,54.15,55.15
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,228,1,2,54.15,55.15
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,15,1,7,5.225,6.225
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,73,1,2,20.574999999999996,21.574999999999996
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,118,1,3,32.2,32.375
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,73,1,2,20.574999999999996,21.574999999999996
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,15,1,7,5.225,6.225
0.025,29235,118,1,3,32.2,32.375
0.025,29235,73,1,2,20.574999999999996,21.574999999999996
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,228,1,2,54.15,55.15
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,15,1,7,5.225,6.225
0.025,29235,118,1,3,32.2,32.375
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,228,1,2,54.15,55.15
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,15,1,7,5.225,6.225
0.025,29235,92,1,15,29.124999999999996,30.124999999999996
0.025,29235,15,1,7,5.225,6.225
0.030,13105,14,1,2,5,6
0.030,13105,128,1,4,31.44,32.44
0.030,13105,151,2,8,40.62,41.62
0.030,13105,151,1,3,39.62,40.62
0.030,13105,128,1,4,31.44,32.44
0.030,13105,151,2,8,40.62,41.62
0.030,13105,0,1,7,1,2
0.030,13105,151,1,3,39.62,40.62
0.030,13105,14,1,2,5,6
0.030,13105,151,2,8,40.62,41.62
0.030,13105,151,2,8,40.62,41.62
0.030,13105,151,2,8,40.62,41.62
0.030,13105,52,1,5,15.450000000000001,16.450000000000003
0.030,13105,151,1,3,39.62,40.62
0.030,13105,151,2,8,40.62,41.62
0.030,13105,151,1,3,39.62,40.62
0.030,13105,128,1,4,31.44,32.44
0.030,13105,128,1,4,31.44,32.44
0.030,13105,162,1,1,44.65,45.65
0.030,13105,128,1,4,31.44,32.44
0.030,13105,162,1,1,44.65,45.65
0.030,13105,151,2,8,40.62,41.62
0.030,13105,14,1,2,5,6
0.030,13105,151,1,3,39.62,40.62
0.030,13105,151,2,8,40.62,41.62
0.030,13105,128,1,4,31.44,32.44
0.030,13105,151,1,3,39.62,40.62
0.030,13105,14,1,2,5,6
0.030,13105,128,1,4,31.44,32.44
0.030,13105,151,1,3,39.62,40.62
0.030,13105,145,1,2,36.62,37.62
