Seed,Active Slot Coefficient,End Slot,Total Stake,Node Stake,Blocks Produced
17302,0.05,7200,1000,348,139
17262,0.05,7200,1000,274,88
17235,0.05,7200,1000,294,90
17234,0.05,7200,1000,878,287
1723,0.05,7200,1000,23,9
17171,0.05,7200,1000,224,71
17103,0.05,7200,1000,847,299
17100,0.05,7200,1000,49,17
17096,0.05,7200,1000,268,90
17080,0.05,7200,1000,331,114
17070,0.05,7200,1000,641,226
17069,0.05,7200,1000,980,351
17034,0.05,7200,1000,523,204
17018,0.05,7200,1000,736,254
1698,0.05,7200,1000,233,90
16847,0.05,7200,1000,637,243
16806,0.05,7200,1000,261,95
16799,0.05,7200,1000,351,144
16741,0.05,7200,1000,356,145
16714,0.05,7200,1000,226,75
16672,0.05,7200,1000,313,134
16646,0.05,7200,1000,333,127
16626,0.05,7200,1000,587,219
16613,0.05,7200,1000,312,106
1658,0.05,7200,1000,491,173
16561,0.05,7200,1000,739,271
16558,0.05,7200,1000,839,294
16548,0.05,7200,1000,288,117
16529,0.05,7200,1000,564,202
16412,0.05,7200,1000,730,262
16346,0.05,7200,1000,869,302
16334,0.05,7200,1000,535,204
16305,0.05,7200,1000,257,79
16287,0.05,7200,1000,896,322
16272,0.05,7200,1000,908,295
1624,0.05,7200,1000,281,100
16220,0.05,7200,1000,987,377
16209,0.05,7200,1000,465,186
16203,0.05,7200,1000,724,281
16185,0.05,7200,1000,80,36
16161,0.05,7200,1000,426,155
1616,0.05,7200,1000,915,316
16142,0.05,7200,1000,781,264
16134,0.05,7200,1000,780,272
1612,0.05,7200,1000,464,168
16088,0.05,7200,1000,225,80
16084,0.05,7200,1000,965,359
16075,0.05,7200,1000,647,216
16069,0.05,7200,1000,453,183
16051,0.05,7200,1000,376,152
16049,0.05,7200,1000,122,54
15961,0.05,7200,1000,769,284
15954,0.05,7200,1000,314,109
15886,0.05,7200,1000,909,314
15852,0.05,7200,1000,15,3
15834,0.05,7200,1000,812,302
15773,0.05,7200,1000,501,194
15745,0.05,7200,1000,361,140
15648,0.05,7200,1000,281,108
15643,0.05,7200,1000,34,10
15573,0.05,7200,1000,816,307
15508,0.05,7200,1000,1000,394
15501,0.05,7200,1000,494,178
15440,0.05,7200,1000,270,96
15426,0.05,7200,1000,255,100
1541,0.05,7200,1000,935,343
1539,0.05,7200,1000,562,184
15373,0.05,7200,1000,591,203
15364,0.05,7200,1000,480,188
15354,0.05,7200,1000,36,16
1532,0.05,7200,1000,388,140
15292,0.05,7200,1000,331,130
15176,0.05,7200,1000,537,212
1510,0.05,7200,1000,710,244
15094,0.05,7200,1000,70,32
15040,0.05,7200,1000,702,258
14971,0.05,7200,1000,320,101
14964,0.05,7200,1000,636,235
14940,0.05,7200,1000,545,226
14927,0.05,7200,1000,146,67
14914,0.05,7200,1000,2,0
14888,0.05,7200,1000,256,64
14858,0.05,7200,1000,605,203
14761,0.05,7200,1000,350,126
14756,0.05,7200,1000,470,159
14674,0.05,7200,1000,260,104
14671,0.05,7200,1000,71,31
14659,0.05,7200,1000,312,101
14628,0.05,7200,1000,40,10
14595,0.05,7200,1000,284,109
1457,0.05,7200,1000,49,15
14546,0.05,7200,1000,943,319
14530,0.05,7200,1000,249,93
14491,0.05,7200,1000,826,276
1441,0.05,7200,1000,439,148
14410,0.05,7200,1000,162,61
14401,0.05,7200,1000,129,43
14385,0.05,7200,1000,950,339
14381,0.05,7200,1000,710,267
14241,0.05,7200,1000,202,74
14231,0.05,7200,1000,394,161
14134,0.05,7200,1000,364,132
14133,0.05,7200,1000,447,150
14120,0.05,7200,1000,811,275
14096,0.05,7200,1000,701,275
14086,0.05,7200,1000,234,97
14083,0.05,7200,1000,375,130
14078,0.05,7200,1000,311,127
14050,0.05,7200,1000,872,304
13961,0.05,7200,1000,946,312
13938,0.05,7200,1000,804,308
13936,0.05,7200,1000,100,37
13903,0.05,7200,1000,529,197
13892,0.05,7200,1000,890,307
13838,0.05,7200,1000,704,288
13795,0.05,7200,1000,377,130
13756,0.05,7200,1000,872,296
13727,0.05,7200,1000,806,321
13725,0.05,7200,1000,275,101
13721,0.05,7200,1000,898,332
13675,0.05,7200,1000,329,120
13672,0.05,7200,1000,161,62
13588,0.05,7200,1000,404,136
13574,0.05,7200,1000,456,149
13572,0.05,7200,1000,573,216
13539,0.05,7200,1000,605,217
13410,0.05,7200,1000,574,206
1338,0.05,7200,1000,288,123
13378,0.05,7200,1000,3,2
13357,0.05,7200,1000,621,220
13345,0.05,7200,1000,384,133
13328,0.05,7200,1000,918,318
13322,0.05,7200,1000,312,121
13274,0.05,7200,1000,595,221
13273,0.05,7200,1000,475,179
13258,0.05,7200,1000,219,73
13246,0.05,7200,1000,885,307
13223,0.05,7200,1000,196,68
13115,0.05,7200,1000,77,31
13073,0.05,7200,1000,283,96
13060,0.05,7200,1000,65,19
13046,0.05,7200,1000,785,277
13027,0.05,7200,1000,970,340
13024,0.05,7200,1000,760,290
12937,0.05,7200,1000,561,228
12890,0.05,7200,1000,238,81
12873,0.05,7200,1000,259,93
12867,0.05,7200,1000,447,161
12860,0.05,7200,1000,388,152
12854,0.05,7200,1000,748,267
12846,0.05,7200,1000,301,88
12814,0.05,7200,1000,721,264
12778,0.05,7200,1000,81,23
12694,0.05,7200,1000,262,101
12690,0.05,7200,1000,687,242
1267,0.05,7200,1000,658,217
